[2017-10-01 13:29:27] ShadowsocksR started on port 1080
[2017-10-01 13:29:37] [Error]connect to update server error
[2017-10-01 13:31:22] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:22] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:22] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:22] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:23] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:23] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:25] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:25] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:25] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:25] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:25] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:25] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:25] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:25] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:26] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:26] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:26] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:27] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:27] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:27] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:27] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:27] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:27] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:27] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:27] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:28] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:28] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:28] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:28] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:28] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:28] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:29] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:29] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:29] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:29] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:30] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:31] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:31] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:31] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:31] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:31] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:31] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:31] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:33] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:33] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:33] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:33] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:35] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:35] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:35] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:35] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:35] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:37] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:37] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:37] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:40] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:41] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:42] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:43] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:44] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:46] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:48] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:50] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:52] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:52] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:54] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:54] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:56] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:56] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:58] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:31:59] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:01] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:02] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:02] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:02] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:02] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:02] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:03] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:03] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:04] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:04] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:04] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:04] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:05] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:05] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:06] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:06] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:06] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:06] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:06] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:07] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:07] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:08] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:09] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:09] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:09] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:09] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:09] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:32:10] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:29] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:29] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:29] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:31] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:32] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:33] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:33] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:33] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:34] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:35] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:35] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:36] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:37] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:37] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:37] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:37] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:38] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:38] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:38] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:40] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:33:41] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:34:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:34:41] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:34:43] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:34:46] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:34:48] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:34:50] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:34:52] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:34:55] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 13:34:55] [Error]connect to update server error
[2017-10-01 14:58:39] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:40] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:40] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:40] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:40] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:40] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:41] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:41] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:42] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:42] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:42] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:42] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:42] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:42] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:43] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:43] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:43] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:43] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:44] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:44] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:44] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:44] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:45] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:45] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:45] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:45] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:45] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:45] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:45] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:46] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:46] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:46] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:46] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:47] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:47] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:47] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:47] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:48] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:48] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:48] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:48] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:48] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:49] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:49] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:49] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:49] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:50] [Warn]Proxy server [(172.104.96.21)] connection refused
[2017-10-01 14:58:50] [Warn]Proxy server [(172.104.96.21)] connection refused
